turbine,controllertime,modifiedtime,turok,atpwrin,atpwrout,reactpwrin,reactpwrout
"D96E68BE-D1AC-4E65-8745-6E34FE64802B","2024-02-15T23:40:00","2024-02-15T18:24:00",115151.3,8025.0,41492514.0,249780.0,508234.0
"E6379F4D-7A09-43A5-BA80-7092A72840AF","2024-02-15T23:40:00","2024-02-15T18:25:00",111666.5,22739.0,13813859.0,330459.0,2326433.0
"6CCFE64A-9F06-409F-900B-70AE43A87E8E","2024-02-15T23:40:00","2024-02-15T18:20:00",139489.3,31525.0,17535933.0,412893.0,2124870.0
"99808050-759A-4260-8042-70B486687435","2024-02-15T23:40:00","2024-02-15T18:24:00",125905.6,30425.0,19028402.0,331906.0,2712835.0
"1791BA43-A023-4CE4-8168-712B3F559188","2024-02-15T23:40:00","2024-02-15T18:20:00",109434.9,50883.0,41592895.0,648714.0,1355436.0
"100268A7-0A2C-4D67-B378-72FAE2A62F64","2024-02-15T23:30:00","2024-02-15T18:19:00",12155.6,6935.0,1205318.0,54881.0,77005.0
"1BD42526-6E50-4864-850B-736FF47376A8","2024-02-15T23:40:00","2024-02-15T18:20:00",109049.1,37057.0,33639708.0,694824.0,811036.0
"C444D696-C4A4-43E4-A280-739A70FF556C","2024-02-15T23:40:00","2024-02-15T18:19:00",120997.5,28073.0,52791938.0,858493.0,1775902.0
"38F322E2-0B70-4F82-9E03-73B89FEF4897","2024-02-16T00:00:00","2024-02-15T18:19:00",104465.4,12363.0,38048476.0,1176443.0,1106672.0
"38F322E2-0B70-4F82-9E03-73B89FEF4897","2024-02-16T00:10:00","2024-02-15T18:19:00",104465.6,12364.0,38048482.0,1176443.0,1106672.0
"F7DDEB93-6769-4932-B55A-750D54C91E74","2024-02-15T23:40:00","2024-02-15T18:24:00",115592.0,35727.0,40033777.0,415088.0,1451334.0
"BD20FAE1-3C32-4A3E-8EC0-75C49C7CA876","2024-02-15T23:40:00","2024-02-15T18:20:00",97119.7,54585.0,26890461.0,675593.0,643983.0
"6CBD85C4-9A21-47E9-839D-77AD77EC3DA9","2024-02-15T23:40:00","2024-02-15T18:24:00",16504.4,15384.0,5209224.0,72817.0,182250.0
"6CBD85C4-9A21-47E9-839D-77AD77EC3DA9","2024-02-15T23:50:00","2024-02-15T18:24:00",16504.6,15384.0,5209289.0,72818.0,182253.0
"B79B0321-7A21-4A82-9BC2-77DAA8599693","2024-02-15T23:30:00","2024-02-15T18:18:00",92247.6,39290.0,28056651.0,530647.0,668645.0
"44EADAA4-7919-4896-B6CD-77E547D6D175","2024-02-15T23:40:00","2024-02-15T18:22:00",103846.1,16061.0,18191849.0,448793.0,1058589.0
"6422F501-25C3-4664-A700-79625A2EAA79","2024-02-15T23:40:00","2024-02-15T18:18:00",118902.3,30977.0,42394037.0,1265817.0,1955219.0
"A5DAEA24-1BD6-4CBA-A066-7BF279E1B270","2024-02-15T23:20:00","2024-02-15T18:20:00",11207.9,5920.0,1030405.0,48152.0,77733.0
"7BD38807-9E5A-45B9-BED6-7DA769653DAF","2024-02-15T23:40:00","2024-02-15T18:20:00",12200.8,16517.0,3370716.0,38772.0,119130.0
"A523F0EE-E5AC-43E9-A2C3-7E6A4E7FD9EE","2024-02-15T23:40:00","2024-02-15T18:19:00",72782.7,35443.0,26049445.0,1033833.0,1186783.0
"09BBE9E8-047D-40C9-A624-7EF241C610EB","2024-02-15T23:30:00","2024-02-15T18:20:00",33123.9,56832.0,13253115.0,296140.0,420193.0
"09BBE9E8-047D-40C9-A624-7EF241C610EB","2024-02-15T23:40:00","2024-02-15T18:20:00",33124.1,56833.0,13253115.0,296140.0,420193.0
"6EFC5262-4D30-470E-B5C5-7FCD9E3D5762","2024-02-15T23:30:00","2024-02-15T18:20:00",14836.3,9298.0,1797877.0,58725.0,111341.0
"8E64EA93-E0FF-49AF-B577-7FE942618D56","2024-02-15T23:40:00","2024-02-15T18:19:00",78867.4,9709.0,31288205.0,592629.0,1091772.0
"D01DFC07-7EC2-45B2-B6AA-819ED136F57F","2024-02-15T23:40:00","2024-02-15T18:18:00",26672.2,14883.0,7674592.0,102553.0,187867.0
"925C356E-1D22-4156-98B2-84A3D12EC5F8","2024-02-15T23:40:00","2024-02-15T18:20:00",95984.3,16110.0,10610179.0,241908.0,1919488.0
"59788BAE-FC10-4AC9-B26F-859F2B4F44AF","2024-02-15T23:40:00","2024-02-15T18:18:00",24581.5,28515.0,8623672.0,173622.0,218417.0
"B0AC62E9-F145-493D-A66F-87BA6AD7552A","2024-02-15T22:40:00","2024-02-15T18:19:00",29634.4,5267.0,9000979.0,338633.0,492200.0
"DA3378AD-A965-4559-898A-8965F151C009","2024-02-15T23:40:00","2024-02-15T18:20:00",84042.7,39756.0,22600021.0,581877.0,536243.0
"2763FCE5-29DE-4951-905E-8A0FBDBE4876","2024-02-15T23:50:00","2024-02-15T18:25:00",111066.1,22562.0,15010924.0,348859.0,2335215.0
"D4D2979F-22EE-4936-953E-8B3B69816FCA","2024-02-15T23:40:00","2024-02-15T18:20:00",77157.0,23657.0,29028931.0,812501.0,869182.0
"15A5E6D9-B3EE-43B5-ADAD-8BFE1FDC77F3","2024-02-15T23:40:00","2024-02-15T18:19:00",106538.3,47135.0,41186751.0,632441.0,1287973.0
"DA51DB63-8D81-4D76-A5C0-8C79ECB6E562","2024-02-15T23:40:00","2024-02-15T18:19:00",113166.9,33832.0,41310485.0,818793.0,1952363.0
"F60E6586-3712-4794-BD20-8D536DE61806","2024-02-15T23:50:00","2024-02-15T18:23:00",44171.4,6829.0,7315051.0,181647.0,444101.0
"57A559F9-679D-40EF-834D-8EA8E9DE4C9D","2024-02-15T23:50:00","2024-02-15T18:25:00",111562.5,26569.0,14835298.0,311082.0,1997949.0
"20E45C43-E9EB-481E-9F1D-8F91B711AE3D","2024-02-15T23:40:00","2024-02-15T18:22:00",2155.8,1631.0,748072.0,10255.0,22816.0
"2193666A-7B39-484C-8077-9107A791CA3E","2024-02-15T23:40:00","2024-02-15T18:23:00",107524.4,12118.0,18736647.0,471827.0,1192440.0
"D94508E8-F9A3-4EC7-BDB7-917D4D9089F6","2024-02-15T23:40:00","2024-02-15T18:20:00",96840.5,41539.0,33600098.0,1552221.0,1575134.0
"4F68CBDF-D339-4181-BA7B-928296499151","2024-02-15T23:40:00","2024-02-15T18:19:00",116646.7,39509.0,44167832.0,932221.0,1965270.0
"694885DB-460C-4F6F-B105-93EC53DC458B","2024-02-15T23:40:00","2024-02-15T18:20:00",127010.0,38827.0,36897355.0,621288.0,1028158.0
"EEBCE469-9A9F-460F-8CC8-95DA97DE968F","2024-02-15T23:20:00","2024-02-15T18:19:00",16402.1,10921.0,1706095.0,86866.0,112532.0
"4295ECE8-042E-4BDF-9F83-9862051507FE","2024-02-15T23:40:00","2024-02-15T18:18:00",112759.7,9856.0,44816914.0,1107798.0,1387583.0
"770A1762-5CC2-43B9-98B2-98CBB963624F","2024-02-15T23:40:00","2024-02-15T18:19:00",108431.0,70901.0,41598551.0,692813.0,1250488.0
